id,loss
4,1461.4677137130184
6,3114.807087928924
9,8666.803506097422
12,5784.123484468162
15,781.4068071381186
17,1944.1522689786527
21,1915.757651041757
28,1005.7653116128047
32,2442.34865810182
43,2802.1406239518055
46,2999.3581300776177
50,964.6810174623096
54,1359.107003420104
62,1870.635099748118
70,2269.6982894732096
71,3854.3294711577446
75,2126.1589052436725
77,2317.039924376214
81,3606.4353268664368
83,2087.889564637645
87,2176.995777351249
97,1849.817837457377
103,1193.435015706411
119,1339.4976708365214
120,2598.299627625021
127,945.2217198225617
138,3417.925577042933
141,3335.680782948633
148,725.5980215665296
150,2816.6842260516487
151,2413.408689431734
158,1643.1800067931101
160,5477.66458154934
165,2184.9296930176374
168,3653.3103729684167
169,3089.4187239806497
177,3258.621213360982
178,3465.412519611248
184,2159.5692502796105
194,12773.334325000369
198,1588.4419948604243
203,3466.575676552711
211,3361.263580683324
217,1163.0909673143651
219,1368.5243569814313
221,4566.977779420289
227,1550.5728676734261
230,1587.960589210012
235,2464.627178659381
240,635.3546989701932
243,3128.9420358020984
249,8604.241972399079
253,2664.676678704928
258,1389.8681565861125
261,1792.0078835362588
263,3253.7398488676613
264,2489.859788606327
265,3996.4732466195114
268,1855.1526484303386
271,1177.1505032578127
274,5436.1925051626
275,651.8458692525866
279,1560.2880849166158
282,1601.4631328558437
286,2873.3171314951087
288,1197.2738018795092
294,2793.0157374252854
296,1121.5301658423448
297,1472.5244194983363
300,857.1400040233628
303,8390.69137420892
314,1075.203492100258
315,5033.341397646363
321,2748.21977206219
323,4485.613322009541
330,3077.3435590998033
341,2220.0081536170474
342,6940.961779036219
352,2158.349272214098
353,4382.954886323282
360,4735.115971494803
361,2511.361803934924
362,3706.87810169966
366,1571.506169423153
372,3263.634894561843
376,2532.298583915181
377,2228.843614935757
379,1498.0771669245598
380,4471.799822354793
387,1779.621898491717
392,2020.1660245354367
394,9698.913739027977
395,1558.3330289442197
397,1767.7838382138443
407,5807.520707549734
411,9096.06620076704
416,2600.632470296161
417,1806.046660944597
419,2943.5634412503878
428,4553.651743056836
431,1885.5756344367596
436,10307.376885105426
438,1359.233379692875
445,6467.157278368416
446,9989.180196731017
455,1155.8821571336202
456,1327.500250905825
461,1060.0241532693426
463,1824.7288409118573
464,4138.662675069228
466,1866.0260823579968
467,1264.2242914042988
470,1861.9435373506183
475,1871.1773959778645
